Sample	TOTAL_READS_First	PF_READS_First	PCT_PF_READS_First	PF_NOISE_READS_First	PF_READS_ALIGNED_First	PCT_PF_READS_ALIGNED_First	PF_ALIGNED_BASES_First	PF_HQ_ALIGNED_READS_First	PF_HQ_ALIGNED_BASES_First	PF_HQ_ALIGNED_Q20_BASES_First	PF_HQ_MEDIAN_MISMATCHES_First	PF_MISMATCH_RATE_First	PF_HQ_ERROR_RATE_First	PF_INDEL_RATE_First	MEAN_READ_LENGTH_First	READS_ALIGNED_IN_PAIRS_First	PCT_READS_ALIGNED_IN_PAIRS_First	PF_READS_IMPROPER_PAIRS_First	PCT_PF_READS_IMPROPER_PAIRS_First	BAD_CYCLES_First	STRAND_BALANCE_First	TOTAL_READS_Second	PF_READS_Second	PCT_PF_READS_Second	PF_NOISE_READS_Second	PF_READS_ALIGNED_Second	PCT_PF_READS_ALIGNED_Second	PF_ALIGNED_BASES_Second	PF_HQ_ALIGNED_READS_Second	PF_HQ_ALIGNED_BASES_Second	PF_HQ_ALIGNED_Q20_BASES_Second	PF_HQ_MEDIAN_MISMATCHES_Second	PF_MISMATCH_RATE_Second	PF_HQ_ERROR_RATE_Second	PF_INDEL_RATE_Second	MEAN_READ_LENGTH_Second	READS_ALIGNED_IN_PAIRS_Second	PCT_READS_ALIGNED_IN_PAIRS_Second	PF_READS_IMPROPER_PAIRS_Second	PCT_PF_READS_IMPROPER_PAIRS_Second	BAD_CYCLES_Second	STRAND_BALANCE_Second	TOTAL_READS_Pair	PF_READS_Pair	PCT_PF_READS_Pair	PF_NOISE_READS_Pair	PF_READS_ALIGNED_Pair	PCT_PF_READS_ALIGNED_Pair	PF_ALIGNED_BASES_Pair	PF_HQ_ALIGNED_READS_Pair	PF_HQ_ALIGNED_BASES_Pair	PF_HQ_ALIGNED_Q20_BASES_Pair	PF_HQ_MEDIAN_MISMATCHES_Pair	PF_MISMATCH_RATE_Pair	PF_HQ_ERROR_RATE_Pair	PF_INDEL_RATE_Pair	MEAN_READ_LENGTH_Pair	READS_ALIGNED_IN_PAIRS_Pair	PCT_READS_ALIGNED_IN_PAIRS_Pair	PF_READS_IMPROPER_PAIRS_Pair	PCT_PF_READS_IMPROPER_PAIRS_Pair	BAD_CYCLES_Pair	STRAND_BALANCE_Pair	MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_99_PERCENT	PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES
KB20	14856891	14856891	1	0	14856891	1	2195812361	14642895	2164920245	2143493429	0	0.003899	0.003845	0.000297	148.524808	14828197	0.998069	28694	0.001931	0	0.413681	14836752	14836752	1	0	14836752	1	2189909887	14623004	2159170376	2132188199	0	0.003984	0.003926	0.000281	148.225719	14828197	0.999423	8555	0.000577	0	0.586334	29693643	29693643	1	0	29693643	1	4385722248	29265899	4324090621	4275681628	0	0.003941	0.003885	0.000289	148.375365	29656394	0.998746	37249	0.001254	0	0.499949	249	151	82	25	1547454	270.929416	166.83599	14828197	FR	39	75	109	137	165	189	417	2395	7713	75133	4405805123	4385722248		2391846869	925925913	336810272	731139194	0	21851442	170794	73413	10553202	378721	0.006908	0.993092		0.545371	0.211123	0.076797	0.166709	0.756494	0.753046
KB21	18341884	18341884	1	0	18341884	1	2711435491	18073347	2672712934	2646483476	0	0.00398	0.003923	0.000315	148.554267	18317202	0.998654	24682	0.001346	0	0.423877	18326355	18326355	1	0	18326355	1	2700432110	18057992	2661919578	2626005950	0	0.004116	0.004055	0.000298	147.983191	18317202	0.999501	9153	0.000499	0	0.576151	36668239	36668239	1	0	36668239	1	5411867601	36131339	5334632512	5272489426	0	0.004048	0.003988	0.000307	148.26885	36634404	0.999077	33835	0.000923	0	0.499982	249	151	81	25	1570890	269.465213	162.736479	18317202	FR	39	75	107	137	163	189	387	2321	7633	73895	5436757642	5411867601		2798150195	1107555124	560942809	945219473	0	25853570	196063	84103	12488260	442934	0.00669	0.99331		0.51704	0.204653	0.103651	0.174657	0.721693	0.718389
KB22	17853442	17853442	1	0	17853442	1	2639104895	17590395	2601113609	2575472110	0	0.003945	0.00389	0.000309	148.520797	17831406	0.998766	22036	0.001234	0	0.421426	17840038	17840038	1	0	17840038	1	2634498790	17577015	2596594278	2564103795	0	0.004026	0.003968	0.000291	148.270215	17831406	0.999516	8632	0.000484	0	0.578604	35693480	35693480	1	0	35693480	1	5273603685	35167410	5197707887	5139575905	0	0.003986	0.003929	0.0003	148.395553	35662812	0.999141	30668	0.000859	0	0.499985	252	151	84	25	1819850	274.555074	170.486379	17831406	FR	39	77	111	141	169	195	433	2475	7885	75437	5296753712	5273603685		2792749213	1111158948	460372956	909322568	0	25745551	184564	78658	12433234	440428	0.006287	0.993713		0.529571	0.210702	0.087298	0.172429	0.740273	0.737038
KB23	12857715	12857715	1	0	12857715	1	1899410469	12666293	1871749452	1851976228	0	0.003944	0.003889	0.000311	148.431521	12843137	0.998866	14578	0.001134	0	0.436397	12849229	12849229	1	0	12849229	1	1894466927	12657896	1866918077	1841594058	0	0.004044	0.003985	0.000292	148.043555	12843137	0.999526	6092	0.000474	0	0.563626	25706944	25706944	1	0	25706944	1	3793877396	25324189	3738667529	3693570286	0	0.003994	0.003937	0.000302	148.237602	25686274	0.999196	20670	0.000804	0	0.49999	251	151	85	21	1507777	274.790525	176.442202	12843137	FR	41	79	115	145	171	195	549	2723	8177	76871	3810735736	3793877396		1965092267	849418890	304878847	674487392	0	18628828	127415	54442	8996400	314738	0.006015	0.993985		0.517964	0.223892	0.080361	0.177783	0.741856	0.738574
KB24	16053526	16053526	1	0	16053526	1	2370985994	15823489	2337817283	2313070612	0	0.003898	0.003842	0.000287	148.399092	16030422	0.998561	23104	0.001439	0	0.415181	16038124	16038124	1	0	16038124	1	2364414102	15808202	2331410997	2299125532	0	0.004027	0.003968	0.000271	148.03468	16030422	0.99952	7702	0.00048	0	0.584858	32091650	32091650	1	0	32091650	1	4735400096	31631691	4669228280	4612196144	0	0.003963	0.003905	0.000279	148.216974	32060844	0.99904	30806	0.00096	0	0.499979	243	151	77	24	1930965	262.745015	155.068569	16030422	FR	37	71	101	129	155	177	375	2223	7297	71007	4756527247	4735400096		2532530383	978047444	434495347	790326922	0	23185137	171566	73774	11202366	398582	0.006542	0.993458		0.534808	0.20654	0.091755	0.166898	0.741348	0.738055
KB25	12819826	12819826	1	0	12819826	1	1870777674	12618850	1842236663	1815035271	0	0.004366	0.004302	0.000339	146.833759	12808039	0.999081	11787	0.000919	0	0.442684	12817391	12817391	1	0	12817391	1	1881127666	12616051	1852430708	1823814999	0	0.004403	0.004336	0.000325	147.560618	12808039	0.99927	9352	0.00073	0	0.557343	25637217	25637217	1	0	25637217	1	3751905340	25234901	3694667371	3638850270	0	0.004384	0.004319	0.000332	147.197154	25616078	0.999175	21139	0.000825	0	0.500008	225	151	63	20	1530667	239.092156	124.099711	12808039	FR	31	59	85	107	127	145	333	2069	6861	66127	3773725377	3751905340		1838733162	779837050	428516461	704818667	0	17503419	126703	54696	8467450	284064	0.006418	0.993582		0.49008	0.207851	0.114213	0.187856	0.697931	0.693895
KB26	12757073	12757073	1	0	12757073	1	1856602111	12556962	1828273366	1799078622	0	0.004424	0.004361	0.000322	146.423821	12745013	0.999055	12060	0.000945	0	0.426144	12754681	12754681	1	0	12754681	1	1868723360	12554095	1840228236	1810178943	0	0.004471	0.004405	0.000307	147.266485	12745013	0.999242	9668	0.000758	0	0.573899	25511754	25511754	1	0	25511754	1	3725325471	25111057	3668501602	3609257565	0	0.004447	0.004383	0.000315	146.845113	25490026	0.999148	21728	0.000852	0	0.500015	223	151	61	26	1735491	236.294381	118.400124	12745013	FR	31	57	81	103	123	141	291	1893	6541	64255	3746276406	3725325471		1878358892	775719932	392735638	678511009	0	17680862	140294	60944	8558510	284439	0.007071	0.992929		0.504213	0.208229	0.105423	0.182135	0.712442	0.708458
KB27	14079537	14079537	1	0	14079537	1	2051458596	13858683	2020168037	1989304502	0	0.004287	0.004219	0.000341	146.644712	14066779	0.999094	12758	0.000906	0	0.440404	14077414	14077414	1	0	14077414	1	2066243865	13856076	2034729190	2004065643	0	0.004279	0.004208	0.000325	147.609894	14066779	0.999245	10635	0.000755	0	0.559623	28156951	28156951	1	0	28156951	1	4117702461	27714759	4054897227	3993370145	0	0.004283	0.004213	0.000333	147.127267	28133558	0.999169	23393	0.000831	0	0.500009	227	151	65	25	1933356	241.741356	127.357416	14066779	FR	31	61	87	111	131	149	331	2089	7013	69067	4142655238	4117702461		2019983040	845663991	474474466	777580964	0	19138309	140232	60331	9256030	313418	0.006476	0.993524		0.490561	0.205373	0.115228	0.188839	0.695933	0.691742
KB28	14532077	14532077	1	0	14532077	1	2118120730	14307727	2086341194	2054195448	0	0.004317	0.004256	0.000319	146.641743	14518485	0.999065	13592	0.000935	0	0.423914	14529188	14529188	1	0	14529188	1	2130952799	14304143	2098948154	2065861792	0	0.004389	0.004324	0.000305	147.408729	14518485	0.999263	10703	0.000737	0	0.576129	29061265	29061265	1	0	29061265	1	4249073529	28611870	4185289348	4120057240	0	0.004353	0.00429	0.000312	147.025198	29036970	0.999164	24295	0.000836	0	0.500014	226	151	64	23	1561507	240.56606	124.81563	14518485	FR	31	59	85	109	129	147	315	2011	6907	69655	4272738243	4249073529		2173734050	878858497	429374685	767106297	0	20312426	155495	67358	9833121	325744	0.006804	0.993196		0.511578	0.206835	0.101051	0.180535	0.718414	0.714435
KB29	12840736	12840736	1	0	12840736	1	1868841621	12645491	1841217340	1812544588	0	0.004349	0.004291	0.000318	146.420569	12828254	0.999028	12482	0.000972	0	0.428517	12838162	12838162	1	0	12838162	1	1884537572	12642382	1856656915	1828466499	0	0.004342	0.00428	0.000302	147.533534	12828254	0.999228	9908	0.000772	0	0.571525	25678898	25678898	1	0	25678898	1	3753379193	25287873	3697874255	3641011087	0	0.004345	0.004286	0.00031	146.976996	25656508	0.999128	22390	0.000872	0	0.500014	226	151	64	23	1530637	239.740868	125.526727	12828254	FR	31	61	87	109	129	149	371	2281	7403	73371	3774207290	3753379193		1942376845	787291601	351103727	672607020	0	18187500	123021	53036	8804519	290143	0.005988	0.994012		0.517501	0.209755	0.093543	0.1792	0.727256	0.723243
